,id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries,clean_tweet,word_length,sentiment,sentiment_polar
10,1266039081311457280,Thu May 28 16:10:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""Kemudian pada 26 Mei 2020 KRL Commuter Line akan kembali beroperasi sesuai jadwal selama masa PSBB dengan waktu operasional pukul 05.00-18.00 WIB,” ujarnya.
 https://t.co/PDyNn6QYWu

@KAI121 @keretaapikita",mei krl commuter line beroperasi jadwal psbb operasional,in,0,0,KedaiPenaCom,False,,"KAI121, keretaapikita",Indonesia,,mei krl commuter line beroperasi jadwal psbb operasional,8,1,1
11,1266039060105007105,Thu May 28 16:10:08 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Covid19Update24: Indonesia #COVID19 growth rate is fastest in Asean Region, not looking to slow down anytime soon, will beat Singapore…",Tingkat pertumbuhan indonesia tercepat di kawasan asean yang tidak ingin melambat dalam waktu dekat akan mengalahkan singapura,en,0,342,isanajadeh,,COVID19,Covid19Update24,"London, England",,indonesia growth rate is fastest in asean region not looking to slow down anytime soon will beat singapore,19,-1,-2
12,1266039054497394689,Thu May 28 16:10:07 +0000 2020,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PSBB untuk wilayah Bodebek (Kabupaten Bogor, Kota Bogor, Kota Depok, Kabupaten Bekasi, dan Kota Bekasi) direncanakan akan diperpanjang sampai dengan 4 Juni 2020.⁣
⁣
#infodepok #kotadepok #psbbdepok #cegahcorona #jawabarat #bogor #bekasi #depok https://t.co/vNLlCrpGYM https://t.co/LCkREokYQp",psbb wilayah bodebek kabupaten bogor kota bogor kota depok kabupaten bekasi kota bekasi direncanakan diperpanjang,in,0,0,infodepok_id,False,"infodepok, kotadepok, psbbdepok, cegahcorona, jawabarat, bogor, bekasi, depok",,"Depok, Jawa Barat",,psbb wilayah bodebek kabupaten bogor kota bogor kota depok kabupaten bekasi kota bekasi direncanakan diperpanjang,23,-1,-5
13,1266039050281947136,Thu May 28 16:10:06 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @detikcom: Menjelang era new normal pada 1 Juni 2020 di Jawa Barat (Jabar), terbit Surat Keputusan Gubernur Jabar Ridwan Kamil yang memp…",menjelang era new normal jawa barat jabar terbit surat keputusan gubernur jabar ridwan kamil memp,in,0,58,anakhaci,,,detikcom,"Bogor, Indonesia",,menjelang era new normal jawa barat jabar terbit surat keputusan gubernur jabar ridwan kamil memp,15,1,11
14,1266039033940987906,Thu May 28 16:10:02 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @CNNIndonesia: Sumatera Barat Kembali Perpanjang PSBB Sampai 7 Juni https://t.co/dMNjJkN0wp,sumatera barat perpanjang psbb,in,0,8,HARRYXSANTANA,False,,CNNIndonesia,,,sumatera barat perpanjang psbb,4,1,2
15,1266039023321022464,Thu May 28 16:09:59 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @infoSumbar: Gubernur meminta seluruh Pemimpin Kabupaten/Kota segera menyiapkan “New Normal” selama PSBB tahap III. “New Normal” di Sumb…,gubernur pemimpin kabupaten kota menyiapkan new normal psbb tahap iii new normal sumb,in,0,902,vivianggrianiii,,,infoSumbar,Indonesia,,gubernur pemimpin kabupaten kota menyiapkan new normal psbb tahap iii new normal sumb,13,1,3
16,1266039011576958978,Thu May 28 16:09:56 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Ifkubilzz @Sunnysideuupppp @ErhanAftizar Katanya ada. Kemaren syutingnya berenti gara2 psbb, jadi agak gantung",katanya syutingnya berenti gara psbb agak gantung,in,0,101,burcangte,,,"Ifkubilzz, Sunnysideuupppp, ErhanAftizar",mars,,katanya kemaren syutingnya berenti psbb agak gantung,7,-1,-11
17,1266038975023640576,Thu May 28 16:09:48 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Praz_Teguh: HUKUMAN UNTUK YANG LANGGAR PSBB https://t.co/5MCPXaDKro,hukuman langgar psbb,in,0,902,esskiko,False,,Praz_Teguh,"ÜT: -6.22123,106.5569",,teguh hukuman langgar psbb,4,1,3
18,1266038969650647040,Thu May 28 16:09:46 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@veliscias @Asknonym Positive aja hyung, rumah dia di hutan :"") gaada psbb kan disana :"")",positive hyung rumah hutan tidak ada uang psbb kan disana,in,0,0,cantiqaaaaaaaaa,,,"veliscias, Asknonym",Indonesia,,positive aja hyung rumah hutan gaada psbb kan disana,10,1,2
19,1266038960993693696,Thu May 28 16:09:44 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @detikcom: Satpol PP Tangsel mengamankan 'manusia silver' yang mengemis di masa pembatasan sosial berskala besar (PSBB). Ada yang kabur…,satpol pulang pergi tangsel mengamankan manusia silver mengemis pembatasan sosial berskala psbb kabur,in,0,1,BenediktusNugro,,,detikcom,"Jakarta Selatan, DKI Jakarta",,satpol pp tangsel mengamankan manusia silver mengemis pembatasan sosial berskala psbb kabur,13,1,6
20,1266038937685909504,Thu May 28 16:09:39 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@sophrosryne KETEMU DONGGGG PSBB KAPAN KLAR,ketemu dongggg psbb klar,in,0,1,maytansanee,,,sophrosryne,bayangan mas pawat,,ketemu dongggg psbb klar,4,1,1
21,1266038913866448896,Thu May 28 16:09:33 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Demokrat_TV: Wakil Ketua MPR, dari Fraksi Partai Demokrat, Syarief Hasan mengatakan, kebijakan pemerintah utk memperlonggar PSBB dg ist…",wakil ketua mpr fraksi partai demokrat syarief hasan kebijakan pemerintah memperlonggar psbb dg ist,in,0,86,Braderhood16,,,Demokrat_TV,"Kota Surabaya, Jawa Timur",,tv ketua mpr fraksi partai demokrat syarief hasan kebijakan pemerintah utk memperlonggar psbb dg ist,15,1,9
22,1266038886729306112,Thu May 28 16:09:27 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Praz_Teguh: HUKUMAN UNTUK YANG LANGGAR PSBB https://t.co/5MCPXaDKro,hukuman langgar psbb,in,0,902,Otridjasfar,False,,Praz_Teguh,Padang-Indonesia,,teguh hukuman langgar psbb,4,1,3
23,1266038872938434560,Thu May 28 16:09:23 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PSBB siga sinetron tersanjung LILAAAAAA !!!,psbb siga sinema elektronik tersanjung lilaaaaaa,in,0,0,Ronizukipurnama,,,,UJUNGBERUNG 🚅 CIMINDI 👌🤘,"[[107.533781, -6.909461], [107.5714646, -6.909461], [107.5714646, -6.859698], [107.533781, -6.859698]]",psbb siga sinetron tersanjung lilaaaaaa,6,1,2
24,1266038862381371392,Thu May 28 16:09:21 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @detikcom: Menjelang era new normal pada 1 Juni 2020 di Jawa Barat (Jabar), terbit Surat Keputusan Gubernur Jabar Ridwan Kamil yang memp…",menjelang era new normal jawa barat jabar terbit surat keputusan gubernur jabar ridwan kamil memp,in,0,58,GerhanaGW,,,detikcom,"Bandung, West Java, Indonesia",,menjelang era new normal jawa barat jabar terbit surat keputusan gubernur jabar ridwan kamil memp,15,1,11
25,1266038859155947520,Thu May 28 16:09:20 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @VIVAcoid: Viral, Tak Mampu Beli Susu Bapak Serahkan Anaknya ke Petugas PSBB https://t.co/6tr9A6G8lc",viral tidak beli susu serahkan anaknya petugas psbb,in,0,151,putragaruda27,False,,VIVAcoid,,,viral tak beli susu serahkan anaknya petugas psbb,8,-1,-10
26,1266038853871169536,Thu May 28 16:09:19 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tapi kalau naik mobil, dia yang nyetir saya duduk di belakang, trus turunnya di lobi bukan di parkiran.

Jadi sebelum ada aturan PSBB, saya udah begitu 😂",mobil nyetir duduk belakang turunnya lobi bukan parkiran aturan psbb,in,0,0,aneganeg,,,,Jakarta - Solo - Semarang,,mobil nyetir duduk belakang trus turunnya lobi bukan parkiran aturan psbb udah,10,1,5
27,1266038852373770240,Thu May 28 16:09:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Covid19Update24: Indonesia #COVID19 growth rate is fastest in Asean Region, not looking to slow down anytime soon, will beat Singapore…",Tingkat pertumbuhan indonesia tercepat di kawasan asean yang tidak ingin melambat dalam waktu dekat akan mengalahkan singapura,en,0,111,ErsaTriWahyuni,,COVID19,Covid19Update24,"Indonesia, Accounting World",,indonesia growth rate is fastest in asean region not looking to slow down anytime soon will beat singapore,19,-1,-2
28,1266038842018021378,Thu May 28 16:09:16 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@gid_osteo Bu walikota kemarin marah2 krn pasien covid nya bukan warga surabaya 🤭. Psbb tanpa sanksi tegas memang bakal percuma ya mas,bu walikota marah pasien covid nya bukan warga surabaya psbb sanksi memang mas,in,0,0,cumazaki,,,gid_osteo,Disini-sini aja,,osteo bu walikota krn pasien covid nya bukan surabaya psbb sanksi memang mas,14,-1,-1
29,1266038832308408321,Thu May 28 16:09:14 +0000 2020,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",Satpol PP Tangsel mengamankan 'manusia silver' yang mengemis di masa pembatasan sosial berskala besar (PSBB). Ada yang kabur ke semak-semak saat dirazia. https://t.co/HkftPrKzP8,satpol pulang pergi tangsel mengamankan manusia silver mengemis pembatasan sosial berskala psbb kabur semak semak dirazia,in,9,1,detikcom,False,,,"Jakarta, Indonesia",,satpol pp tangsel mengamankan manusia silver mengemis pembatasan sosial berskala psbb kabur semak semak dirazia,16,1,6
30,1266038827694428160,Thu May 28 16:09:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Disini ga pernah WFH, juga ga ada PSBB, apalagi lockdown ataupun karantina wilayah, jadi kita udah bergaya ""new normal"" 3 bulan ini, kecuali secara std kesehatan, new normalnya belum lengkap. Kalau dari gayanya sih, sudah bos!",disini ga wfh ga psbb lockdown karantina wilayah bergaya new normal std kesehatan new normalnya lengkap gayanya sih bos,in,0,0,NestaLita_Akub,,,,"Palangka Raya, Central Borneo","[[110.734124, -3.5622], [115.84722, -3.5622], [115.84722, 0.793256], [110.734124, 0.793256]]",disini ga wfh ga psbb lockdown karantina wilayah udah bergaya new normal std kesehatan new normalnya lengkap gayanya sih bos,19,1,11
31,1266038823634362370,Thu May 28 16:09:12 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @gothed: alhamdulillah, PSBB diperpanjang https://t.co/jJmNMwv1PQ",alhamdulillah psbb diperpanjang,in,0,1,SENDYYeah,False,,gothed,Wkwkwk Land,,alhamdulillah psbb diperpanjang,3,1,7
32,1266038785759801344,Thu May 28 16:09:03 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @F3KAR: Krn di sby bebas dan tetap macet dmnpun..g ada penjagaan polisi sm skl sepanjang jln..normal spt biasanya..tp kl ada yg kena COV…,sby bebas macet dmnpun g penjagaan polisi skl jalan normal kena cov,in,0,2,achdanSd,,,F3KAR,,,krn sby bebas macet dmnpun g penjagaan polisi sm skl jln normal spt tp kl kena cov,12,-1,-4
33,1266038778436546562,Thu May 28 16:09:01 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @dapitnih: Giliran Lockdown maunya pake Bahasa Indonesia jadi PSBB
Giliran New Normal kenapa ga pake istilah KBTN (Kebebasan Baru Tapi N…",giliran lockdown maunya pakai bahasa indonesia psbb giliran new normal ga pakai istilah kbtn kebebasan,in,0,0,tja_ams2,,,dapitnih,,,giliran lockdown maunya pake bahasa indonesia psbb giliran new normal ga pake istilah kbtn kebebasan n,15,-1,-2
34,1266038768848400385,Thu May 28 16:08:59 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @ridwankamil: Minggu ini 60% Kota/Kab Jabar sudah di zona Biru (level 2) dan 40 % di zona kuning (level 3]. Sudah tdk ada lagi yg di zon…,kota kabupaten jabar zona biru level zona kuning level tidak zon,in,0,342,adi_iday,,,ridwankamil,Bandung,,kota kab jabar zona biru level zona kuning level tidak zon,11,-1,-4
35,1266038694311530503,Thu May 28 16:08:41 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@cutehaluies psbb mengacungkan jempol melht ini,psbb mengacungkan jempol melht,in,0,26,leeunsaangg,,,cutehaluies,,,psbb mengacungkan jempol melht,4,1,4
36,1266038680025616384,Thu May 28 16:08:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gabole ngumpul², psbb https://t.co/WlIMDpuQRH",gabole berkumpul psbb,in,0,0,bawango,False,,,,,gabole ngumpul psbb,3,-1,-2
37,1266038676443656193,Thu May 28 16:08:36 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Praz_Teguh: HUKUMAN UNTUK YANG LANGGAR PSBB https://t.co/5MCPXaDKro,hukuman langgar psbb,in,0,902,farfaraah_,False,,Praz_Teguh,"Bekasi, Jawa Barat",,teguh hukuman langgar psbb,4,1,3
38,1266038663437185024,Thu May 28 16:08:33 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@andre_rosiade Assalamualaikum bg, ijin batanyo bg @andre_rosiade 
Apakah setelah PSBB di sumbar berakhir untuk keluar masuk sumbar harus memiliki SIKM bang ?? Wassalam, terima kasih bang 🙏",assalamualaikum abang ijin batanyo abang psbb sumbar berakhir keluar masuk sumbar memiliki sikm bang wassalam terima kasih bang,in,0,0,opWanky,,,"andre_rosiade, andre_rosiade",Indonesia 🇮🇩,,rosiade assalamualaikum bg ijin batanyo bg rosiade psbb sumbar berakhir keluar masuk sumbar memiliki sikm bang wassalam terima kasih bang,20,1,2
39,1266038637465964544,Thu May 28 16:08:27 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Dunungan teh geus Aya rencana rek gawe tanggal 2 pek teh di perpanjang anjing PSBB kntl 😠,dunungan kakak perempuan geus aya rencana rek kerja tanggal pek kakak perempuan perpanjang anjing psbb kntl,in,0,562,Kemal_blues,,,,"Bandung, Jawa Barat",,dunungan teh geus aya rencana rek gawe tanggal pek teh perpanjang anjing psbb kntl,16,1,1
40,1266038598731587584,Thu May 28 16:08:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ChusnuIChotimah: Dulu diminta ibadah dirumah ngamuk2 bilang rezim PKI.
Dikasih kebijakn PSBB teriak2 pemerintah bikin susah rakyatnya d…",ibadah dirumah mengamuk bilang rezim pki dikasih kebijakn psbb teriak pemerintah bikin susah rakyatnya,in,0,95,EvitaSuzie,,,ChusnuIChotimah,,,ibadah dirumah bilang rezim pki dikasih kebijakn psbb pemerintah bikin susah rakyatnya d,14,1,5
41,1266038590217220098,Thu May 28 16:08:16 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@tpboon9 psbb hanyalah isu fren,psbb isu fren,in,0,0,abibun_,,,tpboon9,grove street. los santos,"[[106.974561, -6.301652], [107.048951, -6.301652], [107.048951, -6.20717], [106.974561, -6.20717]]",psbb isu fren,3,-1,-1
42,1266038573850980352,Thu May 28 16:08:12 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @detikcom: Menjelang era new normal pada 1 Juni 2020 di Jawa Barat (Jabar), terbit Surat Keputusan Gubernur Jabar Ridwan Kamil yang memp…",menjelang era new normal jawa barat jabar terbit surat keputusan gubernur jabar ridwan kamil memp,in,0,58,fajarr_satya,,,detikcom,Dari stasiun ke bawah saetik,,menjelang era new normal jawa barat jabar terbit surat keputusan gubernur jabar ridwan kamil memp,15,1,11
43,1266038543832567811,Thu May 28 16:08:05 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ridwankamil: Minggu ini 60% Kota/Kab Jabar sudah di zona Biru (level 2) dan 40 % di zona kuning (level 3]. Sudah tdk ada lagi yg di zon…,kota kabupaten jabar zona biru level zona kuning level tidak zon,in,0,342,edwin_basuki,,,ridwankamil,"Cibinong, Indonesia",,kota kab jabar zona biru level zona kuning level tidak zon,11,-1,-4
44,1266038506943471617,Thu May 28 16:07:56 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @medcom_id: PSBB Proporsional di Jabar Diperpanjang https://t.co/uYvF5Ddwfo https://t.co/EwZU3rCqVd,psbb proporsional jabar diperpanjang,in,0,1,FazillaPR,False,,medcom_id,,,id psbb proporsional jabar diperpanjang,5,1,2
45,1266038501558149121,Thu May 28 16:07:55 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Praz_Teguh: HUKUMAN UNTUK YANG LANGGAR PSBB https://t.co/5MCPXaDKro,hukuman langgar psbb,in,0,902,rsuryaniko,False,,Praz_Teguh,,,teguh hukuman langgar psbb,4,1,3
46,1266038487876161537,Thu May 28 16:07:52 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","3. #MenujuNormalBaru, Pembatasan Sosial Berskala Besar (PSBB) dapat disesuaikan, jika suatu daerah memenuhi 3 kriteria berikut. Daerah juga harus melaksanakan protokol dan evaluasi kebijakan penyesuaian PSBB #MenujuNormalBaru #KumhamPasti #Kumham16 https://t.co/fLkAIBQluL",pembatasan sosial berskala psbb disesuaikan daerah memenuhi kriteria daerah melaksanakan protokol evaluasi kebijakan penyesuaian psbb,in,0,0,rudenimptk,False,"MenujuNormalBaru, MenujuNormalBaru, KumhamPasti, Kumham16",,Pontianak Indonesia,,pembatasan sosial berskala psbb disesuaikan daerah memenuhi kriteria daerah melaksanakan protokol evaluasi kebijakan penyesuaian psbb,19,1,4
47,1266038478459899909,Thu May 28 16:07:49 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ZAEffendy: Kebalik tuh... 🤓 #Nalar ?
New Normal ibarat pedal gas
PSBB pedal rem-nya",kebalik tuh new normal pedal gas psbb pedal rem nya,in,0,16,gelatik31,,Nalar,ZAEffendy,,,kebalik tuh new normal pedal gas psbb pedal rem nya,11,-1,-11
48,1266038437871640576,Thu May 28 16:07:40 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Itu PSBB ama FTV, kok berjilid-jilid.",psbb ftv berjilid jilid,in,0,0,Abay_Official,,,,,,psbb ama ftv berjilid jilid,4,-1,-10
49,1266038423015452672,Thu May 28 16:07:36 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ridwankamil: Minggu ini 60% Kota/Kab Jabar sudah di zona Biru (level 2) dan 40 % di zona kuning (level 3]. Sudah tdk ada lagi yg di zon…,kota kabupaten jabar zona biru level zona kuning level tidak zon,in,0,342,jamal_j7,,,ridwankamil,Swansea city,,kota kab jabar zona biru level zona kuning level tidak zon,11,-1,-4
50,1266038406854762498,Thu May 28 16:07:32 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @lovenegeriku: Otak mana otak🤣🤣🤣

Di kasih PSBB katanya bikin rakyat susah,
Di kasih New Normal bilangnya bunuh diri massal 🤦
https://t.…",otak otak kasih psbb katanya bikin rakyat susah kasih new normal bilangnya bunuh massal,in,0,1313,CiungKana,,,lovenegeriku,"Jawa Barat, Indonesia",,otak otak kasih psbb katanya bikin rakyat susah kasih new normal bilangnya bunuh massal,14,1,2
51,1266038391008669697,Thu May 28 16:07:28 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ustadtengkuzul: Barang barang di Mall pada berjamur. Baru beberapa bulan PSBB dan rakyat awam menahan diri tidak ke Mall.
Bayangkan jik…",barang barang mall berjamur psbb rakyat awam menahan tidak mall bayangkan jik,in,0,86,Karmila52065294,,,ustadtengkuzul,"Bandung, Jawa Barat",,barang barang mall berjamur psbb rakyat awam menahan tidak mall bayangkan jik,12,-1,-3
